Direct operations (ISIC Section),Direct operations (ISIC Division),Direct operations (ISIC Group/Class),ISIC level used for direct operations,Upstream tier 1 (ISIC Division/Group/Class),ISIC level used for upstream tier 1 link,Upstream tier 2 (ISIC Division/Group/Class),ISIC level used for upstream tier 2 link
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Accommodation,ISIC Division,"Growing of vegetables and melons, roots and tubers",ISIC Class
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Accommodation,ISIC Division,Post-harvest crop activities,ISIC Class
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Accommodation,ISIC Division,Raising of poultry,ISIC Class
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Accommodation,ISIC Division,Real estate activities,ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Accommodation,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Accommodation,ISIC Division,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Accommodation,ISIC Division,Seed processing for propagation,ISIC Class
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Accommodation,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,"Financial service activities, except insurance and pension funding",ISIC Division,Accommodation,ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,"Financial service activities, except insurance and pension funding",ISIC Division,"Financial service activities, except insurance and pension funding",ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,"Financial service activities, except insurance and pension funding",ISIC Division,Food and beverage service activities,ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,"Financial service activities, except insurance and pension funding",ISIC Division,Postal and courier activities,ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,"Financial service activities, except insurance and pension funding",ISIC Division,Real estate activities,ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,"Financial service activities, except insurance and pension funding",ISIC Division,Telecommunications,ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Food and beverage service activities,ISIC Division,"Growing of cereals (except rice), leguminous crops and oil seeds",ISIC Class
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Food and beverage service activities,ISIC Division,Growing of perennial crops,ISIC Group
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Food and beverage service activities,ISIC Division,"Growing of vegetables and melons, roots and tubers",ISIC Class
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Food and beverage service activities,ISIC Division,Post-harvest crop activities,ISIC Class
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Food and beverage service activities,ISIC Division,Raising of poultry,ISIC Class
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Food and beverage service activities,ISIC Division,Real estate activities,ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Food and beverage service activities,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Food and beverage service activities,ISIC Division,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Food and beverage service activities,ISIC Division,Seed processing for propagation,ISIC Class
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Food and beverage service activities,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Postal and courier activities,ISIC Division,Postal and courier activities,ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Postal and courier activities,ISIC Division,Repair of computers and personal and household goods,ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Postal and courier activities,ISIC Division,"Retail trade, except of motor vehicles and motorcycles",ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Postal and courier activities,ISIC Division,Telecommunications,ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Postal and courier activities,ISIC Division,"Travel agency, tour operator, reservation service and related activities",ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Postal and courier activities,ISIC Division,Warehousing and support activities for transportation,ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Postal and courier activities,ISIC Division,"Wholesale trade, except of motor vehicles and motorcycles",ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Real estate activities,ISIC Division,Accommodation,ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Real estate activities,ISIC Division,Civil engineering,ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Real estate activities,ISIC Division,Construction of buildings,ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Real estate activities,ISIC Division,"Financial service activities, except insurance and pension funding",ISIC Division
Other service activities,Activities of membership organizations,Activities of other membership organizations,ISIC Group,Real estate activities,ISIC Division,Food and beverage service activities,ISIC Division
